Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277325;;;1989-01-23;16/1990;1990-08-06;;;Dozownik zwłaszcza do mas półpłynnych;REGIONALNY ZWIĄZEK SPÓŁDZIELNI INWALIDÓW;HRYCIUK EDWARD;;G01F;Decyzja o umorzeniu postępowania;
277326;;;1989-01-23;16/1990;1990-08-06;;;Mieszadło;REGIONALNY ZWIĄZEK SPÓŁDZIELNI INWALIDÓW;HRYCIUK EDWARD;;B01F;Decyzja o umorzeniu postępowania;
277327;;1988-01-22;1989-01-23;17/1989;1989-08-21;;;Zasilacz młocarni kombajnu zbożowego;NAUCHNO-PROIZVODSTVENNOE OBIEDINENIE PO SELSKOKHOZAJSTVENNOMU MASHINOSTROENIJU (NPO VISKHOM) PROIZVODSTVENNOE OBIEDINENIE TAGANOROGSKY KOMBAINOVY ZAVOD;RUSANOV ALEXANDR IVANOVICH SOKOLSKY VALERY APASIEVICH ZHURAVLEVA GALINA MIKHAILOVNA LEVIT NADEZHDA MIKHAILOVNA YARMASHEV JURY NIKOLAEVICH LYAKH ALEXEI ANDREEVICH SACHKO VIKTOR BORISOVICH SMIRNOV VLADIMIR IVANOVICH GERASIMIENKO ALEXANDR ILIICH;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277328;161418;;1989-01-23;21/1989;1989-10-16;06/1993;1993-06-30;Kadź do obróbki ogrzanej substancji i sposób chłodzenia kadzi do obróbki ogrzanej substancji;Union Carbide Corporation;;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;F27D9/00 F27D1/12 F27D1/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277329;;1988-01-25;1989-01-23;19/1989;1989-09-18;;;Sposób wytwarzania nowych aminoketonów podstawionych dibenzo- i dipirydobenzo-azepinonów;INSTITUTO DE ANGELI S.p.A.;GIL QUINTERO MYRNA DONETTI ARTURO PAGANI FERDINANDO SCHIAVI GIOVANNI BATTISTA;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;X99X99/00;Decyzja o wygaśnięciu decyzji warunkowej;
277330;159886;;1989-01-19;15/1990;1990-07-23;01/1993;1993-01-29;Zespół magnetyczny;INSTYTUT TECHNIKI CIEPLNEJ;SKONIECZKA ROMAN;;H01F7/02 G01H1/00 G01D5/20;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277331;153183;;1989-01-19;22/1989;1989-10-30;03/1991;1991-03-29;Układ do strojenia radioodbiorników;ZAKŁADY RADIOWE "DIORA";WAGNEROWSKI TADEUSZ KASZTA ZDZISŁAW WAGNEROWSKI IRENEUSZ;;H03L3/00 H04B17/00;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277332;;;1989-01-20;22/1989;1989-10-30;;;Spoób miejscowego wzmacniania materiału włókienniczego na odzież zawodową;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY TECHNICZNYCH WYROBÓW WŁÓKIENNICZYCH;LEITLOFF MIROSŁAWA JAGUSIAK MIROSŁAWA DEMUS JADWIGA KORNILUK WŁODZIMIERZ GAŁECKI STANISŁAW;;;Decyzja o odmowie udzielenia prawa wyłącznego;
277333;160611;;1989-01-20;22/1989;1989-10-30;04/1993;1993-04-30;Układ elektroniczny do automatycznej identyfikacji zwierząt hodowlanych i zadawania paszy treściwej;INSTYTUT BUDOWNICTWA MECHANIZACJI I ELEKTRYFIKACJI ROLNICTWA;JUDKA MACIEJ JUGOWAR J.LECH PRZYGÓRZEWSKI STANISŁAW KIEŁBOWICZ MACIEJ RUDAWSKI WALDEMAR;;A01K5/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277334;160155;;1989-01-20;15/1990;1990-07-23;02/1993;1993-02-26;Sposób sulfitacji produktów spożywczych i urządzenie do sulfitacji produktów spożywczych;OŚRODEK BADAWCZO-ROZWOJOWY MASZYN DLA PRZETWÓRSTWA PŁODÓW ROLNYCH;NAWROCKI WALDEMAR KUBIAK ANDRZEJ;;A23B7/157 A23B7/158 A23L3/358 A23L3/3589;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277335;;;1988-12-16;15/1990;1990-07-23;;;Sposób wytwarzania materiału porowatego;POLITECHNIKA WROCŁAWSKA;ŁUŹNIAK MIECZYSŁAW;Politechnika Wrocławska Dział Wynalazczości i Ochrony Patentowej;B01J;Decyzja o umorzeniu postępowania;
277336;160523;;1989-01-21;15/1990;1990-07-23;05/1993;1993-05-31;Sposób wytwarzania noży dla kombajnu węglowego;TURSKI LESZEK;TURSKI LESZEK;;B21D53/64;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277337;;;1989-01-23;16/1990;1990-08-06;;;Sposób i urządzenie do odsiarczania gazów;NOCOŃ JÓZEF;NOCOŃ JÓZEF;;B01D;Decyzja o umorzeniu postępowania;
277338;;;1989-01-23;16/1990;1990-08-06;;;Sposób kontroli zadziałania elektrozaworów oraz identyfikacja niesprawnego elektrozaworu filtra pulsacyjnego dla odpylni gazów;BIURO PROJEKTÓW PRZEMYSŁU HUTNICZEGO "BIPROHUT" ODDZIAŁ WARSZAWA;KUKUŁA JAROSŁAW POROWSKI LUDWIK SZCZECIŃSKI KRZYSZTOF SOWIŃSKI BOGUMIŁ;;B01D;Decyzja o umorzeniu postępowania;
277339;161306;;1989-01-24;16/1990;1990-08-06;06/1993;1993-06-30;Urządzenie do odsiarczania i odpylania spalin;PAŁDYNA KAZIMIERZ;PAŁDYNA KAZIMIERZ;;B01D53/34 B01D45/00 B01D53/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277340;159858;;1989-01-24;16/1990;1990-08-06;01/1993;1993-01-29;Zbiornik flotacyjny;POLITECHNIKA WARSZAWSKA;WENDA RYSZARD;Kwiatkowski Stanisław;B03D1/18 C02F1/24;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277341;;;1989-01-24;25/1990;1990-12-10;;;Roztwór kopiowy dwuazotypowy do sporządzania folii światłoczułych do wykonywania kopii niebieskich;POLITECHNIKA WARSZAWSKA;PIĄTKOWSKI FELICJAN CZICHON MARIA ELSNER BOHDAN KRAKOWIAK RYSZARD MACHNIK ZYGMUNT CHABER STANISŁAW;Kwiatkowski Stanisław;G03C;Decyzja o umorzeniu postępowania;
277342;;;1989-01-24;16/1990;1990-08-06;;;Sposób otrzymywania preparatów enzymatycznych zawierających pepsynę wołową i chymozynę;"BIOKAM" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KARCZEWICZ ANDRZEJ MATYJEK ADAM WETTER MARCIN LUBOWICZ JANUSZ;;C12N;Decyzja o umorzeniu postępowania;
277343;;;1989-01-24;17/1989;1989-08-21;;;Sposób wytwarzania ceramicznych wyrobów kamionkowych;RADOMSKIE PRZEDSIĘBIORSTWO CERAMIKI BUDOWLANEJ;FIGURA LECH SOCHA TADEUSZ MASTALERZ MICHAŁ RUDZIŃSKI JANUSZ GAŁCZYŃSKI ALOJZY;;;Decyzja o odmowie udzielenia prawa wyłącznego;
277344;;;1989-01-24;16/1990;1990-08-06;;;Elektroniczne urządzenie odłączające zasilanie trójfazowe od odbiornika w przypadku braku napięcia na conajmniej jednej fazie i dołączające zasilanie do odbiornika w przypadku wystąpienia napięcia na wszystkich fazach;CHODNICKI ALEKSANDER SIERPIŃSKI BOGDAN;CHODNICKI ALEKSANDER SIERPIŃSKI BOGDAN;;H02H;Decyzja o umorzeniu postępowania;
277345;160394;;1989-01-24;16/1989;1989-08-07;05/1993;1993-05-31;Centrownik i sposób wykonywania centrownika;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY BUDOWNICTWA INŻYNIERYJNEGO "HYDROBUDOWA";CZAPLICKI JERZY WIELECHOWSKI JAN PIOTROWICZ MAREK PAŁTYNOWICZ JERZY MIŁOSZEWSKI JĘDRZEJ;Dur Joanna;E02D5/76 B21D31/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277346;;;1989-01-24;16/1989;1989-08-07;;;Sposób umocnienia brzegów;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY BUDOWNICTWA INŻYNIERYJNEGO "HYDROBUDOWA";;Dur Joanna;;Decyzja o umorzeniu postępowania;
277347;160395;;1989-01-24;16/1989;1989-08-07;05/1993;1993-05-31;Sposób stabilizacji ścian gruntowych i element stabilizujący;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY BUDOWNICTWA INŻYNIERYJNEGO "HYDROBUDOWA";CZAPLICKI JERZY WIELECHOWSKI JAN PIOTROWICZ MAREK PAŁTYNOWICZ JERZY MIŁOSZEWSKI JĘDRZEJ BRZESKI EDWARD;Dur Joanna;E02D5/74;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277348;;1988-01-25;1989-01-24;21/1989;1989-10-16;;;Skraplacz płaszczowo-rurowy do skraplania par o podwyższonym współczynniku przenoszenia ciepła;ENERGIAGAZDALKODASI INTEZET;KERTESZ JÓZSEF;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277349;;;1989-01-24;16/1990;1990-08-06;;;Sposób polepszenia fermentowania organicznych materiałów odpadkowych i/albo polepszenia gleby;Kurner Rudolf;KURNER RUDOLF;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;C05F;Decyzja o umorzeniu postępowania;
277350;;1988-01-26;1989-01-24;19/1989;1989-09-18;;;Pasmo łańcucha przegubowego;Gewerkschaft Eisenhütte Westfalia GmbH;SCHEWINSKI HARTMUT ROLING FRANZ;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277351;156387;;1987-12-22;15/1989;1989-07-24;03/1992;1992-03-31;Dodatek do paliw;Exxon Chemical Patents Inc.;;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;C10L1/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277352;156388;;1987-12-22;15/1989;1989-07-24;03/1992;1992-03-31;Kompozycja paliwowa;Exxon Chemical Patents Inc.;;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;C10L1/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277353;158836;;1989-01-22;19/1989;1989-09-18;10/1992;1992-10-30;Sposób wybierania stromego, cienkiego, żyłowego złoża rudnego;KGHM "POLSKA MIEDŹ" SPÓŁKA AKCYJNA;BALICKI JAROSŁAW KAŹMIERSKI HIERONIM KRZYSIK KAZIMIERZ SADECKI ZBIGNIEW;;E21C41/22;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277354;;;1989-01-23;16/1990;1990-08-06;;;Urządzenie do mycia podłóg i posadzek;WOJEWÓDZKIE PRZEDSIĘBIORSTWO PRZEMYSŁU MIĘSNEGO ZAKŁADY MIĘSNE;BARTOSZEWICZ JERZY BIGUS HENRYK STAWIANY IRENEUSZ;;B08B;Decyzja o wygaśnięciu decyzji warunkowej;
277355;;;1989-01-23;16/1990;1990-08-06;;;Sposób oczyszczania ścieków technologicznych powstałych w procesie obróbki oraz przetwórstwa mięsa i drobiu;BIURO PROJEKTÓW PRZEMYSŁU MIĘSNEGO W WARSZAWIE ZESPÓŁ PRACOWNI W GDAŃSKU;MROWIECKI LECH PIETRZAK RYSZARD SZUMICHORA LESZEK;;C02F;Decyzja o umorzeniu postępowania;
277357;;;1989-01-23;22/1989;1989-10-30;;;Sposób i urządzenie do estymacji demodulaty zespolonego pasmowego sygnału dyskretnego o kartezjańskiej reprezentacji;NAUKOWO-PRODUKCYJNE CENTRUM PRZETWARZANIA SYGNAŁU PRZEDSIĘBIORSTWO PAŃSTWOWE;;WOJEWÓDZKI KLUB TECHNIKI I RACJONALIZACJI ul. Rajska 6  80-850 Gdańsk;;Decyzja o umorzeniu postępowania;
277358;159067;;1989-01-23;16/1990;1990-08-06;11/1992;1992-11-30;Maszyna elektryczna;BRANŻOWY OŚRODEK BADAWCZO-ROZWOJOWY MASZYN ELEKTRYCZNYCH "KOMEL";SZCZYRBA ANTONI CHOLEWICKI IWO KĘDRYNA BOLESŁAW FRYC MACIEJ PROCZEK MIECZYSŁAW;;H02K3/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277359;;;1989-01-23;16/1990;1990-08-06;;;Zawór bezpieczeństwa, stosowany w szczególności w komorach fermentacyjnych oczyszczalni ścieków;BIURO PROJEKTÓW BUDOWNICTWA KOMUNALNEGO "STOLICA";KASZYŃSKI ROMUALD ŁĘPSKI WOJCIECH JARECKI WŁODZIMIERZ;;F16K;Decyzja o umorzeniu postępowania;
277360;;;1989-01-23;16/1990;1990-08-06;;;System rurowy wymiennika ciepła;GAJDA ADAM KRĘCISZ ADAM;GAJDA ADAM KRĘCISZ ADAM;;F28F;Decyzja o odmowie udzielenia prawa wyłącznego;
277361;;;1989-01-24;16/1990;1990-08-06;;;Sposób wytwarzania granulowanych związków nadtlenkowych;Gosudarstvenny Nauchno-Issledovatelsky Institut Khimii i Tekhnologii Elementoorganicheskikh Soedineny "Gniikhteos";BUDKOV VYACHESLAV ARTEMOVICH VALAINIS NINA VLADIMIROVNA PAROKONNY VLADIMIR DMITRIEVICH MURASHKO VLADIMIR IVANOVICH;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;B01J;Decyzja o umorzeniu postępowania;
277362;162114;;1989-01-25;19/1989;1989-09-18;09/1993;1993-09-30;Nietoksyczna, słabokwaśna kąpiel do galwanicznego cynkowania z połyskiem;INSTYTUT MECHANIKI PRECYZYJNEJ;WEBER JERZY BUDNY EDWARD;Foremski Lech;C25D3/22;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277363;161035;;1989-01-25;16/1990;1990-08-06;05/1993;1993-05-31;Sposób i deszczułka do wykonywania posadzek parkietowych;IWANCZ ANTONI;IWANCZ ANTONI;;E04F15/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277364;159068;;1989-01-25;17/1989;1989-08-21;11/1992;1992-11-30;Układ hydrauliczny ciągników ciężkich maszyn urabiających;KOPALNIA WĘGLA KAMIENNEGO "JANKOWICE";GMUR BONIFACY KASPEREK HUBERT MENCEL ZDZISŁAW ZAJĄC KRYSTIAN KUCZEK JERZY JOŚKO RAJMUND DZIONY JAN BOBER HENRYK;;E21C29/00 E21C31/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277366;159326;;1989-01-23;16/1990;1990-08-06;12/1992;1992-12-31;Układ chłodzenia przekładni zębatej górniczego kombajnu ścianowego;CENTRUM MECHANIZACJI GÓRNICTWA "KOMAG";PŁONKA RUDOLF RUDNICKI WINCENTY BARON ALFRED;Kusz Grzegorz;F16H57/04 E21C29/00 E21C35/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277367;;;1989-01-24;16/1989;1989-08-07;;;Urządzenie do pomiaru ciśnienia krzepnących cieczy;OŚRODEK BADAWCZO-ROZWOJOWY PRZEMYSŁU SIARKOWEGO "SIARKOPOL";BURZYNSKI WALDEMAR HAJDO STANISŁAW LANDZIANOWSKI ANDRZEJ KUCWAJ ZYGMUNT DUL BRONISŁAW GALENT WIESŁAW;;;Decyzja o umorzeniu postępowania;
277368;160612;;1989-01-24;16/1990;1990-08-06;04/1993;1993-04-30;Sposób oznaczania zawartości izobutylenu w mieszaninie poreakcyjnej z procesu syntezy eteru metylo-tert-butylowego;OŚRODEK BADAWCZO-ROZWOJOWY PRZEMYSŁU RAFINERYJNEGO;CIOK FELICJA WOJNAR TERESA GOŚCINIAK MARIA;;G01N30/50 B01J20/32 B01D15/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277369;162418;;1989-01-24;16/1990;1990-08-06;12/1993;1993-12-31;Sposób wytwarzania żywicy alkidowej;"POLIFARB-CIESZYN"SPÓŁKA AKCYJNA;ANDRZEJEWSKI BERNARD CUBER ANTONI KOZIEŁ JÓZEF WIECZOREK WITOLD RÓG KAZIMIERZ;;C08G63/49;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277370;;;1989-01-24;24/1990;1990-11-26;;;Odwadniacz do serów twarogowych niedojrzewających oraz sposób odwadniania twarogu i mycia urządzeń;WOJEWÓDZKI ZWIĄZEK SPÓŁDZIELNI MLECZARSKICH-ZAKŁAD REMONTOWO-MONTAŻOWY;KWAPISZ KAZIMIERZ KWAPISZ JOLANTA PARANDYK EDWARD MOJECKI JAN;;A23C;Decyzja o umorzeniu postępowania;
277371;157056;;1989-01-26;16/1989;1989-08-07;04/1992;1992-04-30;Wielokrotnik częstotliwości;CENTRUM NAUKOWO-PRODUKCYJNE ELEKTRONIKI PROFESJONALNEJ "UNITRA-RADWAR" WARSZAWSKIE ZAKŁADY RADIOWE "RAWAR";MIROSŁAW TOMASZ;;H02M5/42 H03B19/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277372;;;1989-01-26;16/1990;1990-08-06;;;Płyn do kąpieli;STOŁECZNE ZAKŁADY CHEMII GOSPODARCZEJ "POLLENA";JANOWSKA ANNA PAROL KRYSTYNA KŁOPOTEK ALOJZY KOTAS ANDRZEJ STRAUCH KAZIMIERZ KŁOPOTEK BEATA BARBARA;;A61K;Decyzja o umorzeniu postępowania;
277374;152234;;1989-01-26;22/1989;1989-10-30;11/1990;1990-11-30;Układ do wielokanałowej analizy sygnałów elektrycznych w modułowym systemie aparatury elektronicznej CAMAC;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;G06F11/00;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277375;152696;;1989-01-26;22/1989;1989-10-30;01/1991;1991-01-31;Układ do wielokanałowej analizy czasowej impulsów elektrycznych;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;H03K5/19;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277377;153372;;1989-01-26;22/1989;1989-10-30;04/1991;1991-04-30;Układ do pomiarów napięcia kontaktowego metodą kondensatora dynamicznego;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;;G01R19/18;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277378;152233;;1989-01-26;22/1989;1989-10-30;11/1990;1990-11-30;Układ do monitorowania danych w komputerowym systemie zbierania i przetwarzania informacji;UNIWERSYSTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;G06F15/74;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277379;152232;;1989-01-26;22/1989;1989-10-30;11/1990;1990-11-30;Układ do adresowania pamięci komputerowego systemu zbierania i przetwarzania danych;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;G06F12/02 G06F15/74;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277380;152303;;1989-01-26;22/1989;1989-10-30;12/1990;1990-12-31;Układ do sortowania danych w komputerowym systemie aparatury do zbierania i przetwarzania informacji;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;G06F15/74;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277381;152304;;1989-01-26;22/1989;1989-10-30;12/1990;1990-12-31;Układ do przyspieszenia pracy komputerowego systemu zbierania i przetwarzania danych;UNIWERSYTET ŁÓDZKI;BACZYŃSKI JANUSZ;Lewicki Stefan;G06F15/74;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277382;;;1989-01-26;16/1989;1989-08-07;;;Wibroizolator;GÓRBIEL CZESŁAW;GÓRBIEL CZESŁAW;;;Decyzja o umorzeniu postępowania;
277383;158495;;1989-01-26;16/1990;1990-08-06;09/1992;1992-09-30;Sposób wytwarzania końcówki pisaka oraz końcówka pisaka;ŚWIDERSKI HENRYK;ŚWIDERSKI HENRYK;;B43K8/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277384;155846;;1989-01-26;11/1990;1990-05-28;01/1992;1992-01-31;Urządzenie ćwiczebno-treningowe;LESZCZYŃSKI TOMASZ JASKÓLSKA ANNA;LESZCZYŃSKI TOMASZ JASKÓLSKA ANNA;Leszczyński Tomasz;A63B23/04 A63B69/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277385;;;1989-01-26;11/1990;1990-05-28;;;Przyrząd gimnastyczny;JASKÓLSKA ANNA LESZCZYŃSKI TOMASZ;LESZCZYŃSKI TOMASZ JASKÓLSKA ANNA;;A63B;Decyzja o umorzeniu postępowania;
277386;159327;;1989-01-24;16/1990;1990-08-06;12/1992;1992-12-31;Mieszanka węglowa do produkcji koksu wielkopiecowego w ubijanym systemie obsadzania komór koksowniczych;HUTA "BOBREK" INSTYTUT CHEMICZNEJ PRZERÓBKI WĘGLA;LUBELSKI JAN ZAWISTOWSKI JACEK ZIELIŃSKI HENRYK ZAJĄC JÓZEF SOŁTYSIK BŁAŻEJ WOJTASZEK JAN CHURAS STANISŁAW;Huta Bobrek;C10B57/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277387;152072;;1989-01-23;22/1989;1989-10-30;11/1990;1990-11-30;Hydrauliczna przerzutnica podsadzkowa;MICHALIK ANDRZEJ STROJNY JAN KOSTORZ NORBERT;STROJNY JAN KOSTORZ NORBERT MICHALIK ANDRZEJ;Golisz Tadeusz;E21F15/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277388;160981;;1989-01-26;17/1990;1990-08-20;05/1993;1993-05-31;Układ do pomiaru średnich mocy składowej okresowej i losowej sygnału;POLITECHNIKA POZNAŃSKA;ARNOLD KRZYSZTOF SPIRALSKI LUDWIK;Passowicz Marek;G01R21/133;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277389;159328;;1989-01-24;16/1990;1990-08-06;12/1992;1992-12-31;Filtr do rozdziału zawiesiny krystalicznej;POLITECHNIKA WROCŁAWSKA;MISZTAL SŁAWOMIR;Rozmus Bogusław;B01D9/02 B01D29/31;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277390;159329;;1989-01-24;16/1990;1990-08-06;12/1992;1992-12-31;Urządzenie do wysokotemperaturowej krystalizacji;POLITECHNIKA WROCŁAWSKA;MISZTAL SŁAWOMIR;Rozmus Bogusław;B01D9/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277391;159330;;1989-01-24;16/1990;1990-08-06;12/1992;1992-12-31;Urządzenie do wysokotemperaturowej krystalizacji;POLITECHNIKA WROCŁAWSKA;MISZTAL SŁAWOMIR;Rozmus Bogusław;B01D9/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277392;153322;;1989-01-24;22/1989;1989-10-30;04/1991;1991-04-30;Głowica do honowania wewnętrznych powierzchni cylindrycznych;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK;;B24B33/08 B24D7/06;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277393;153323;;1989-01-24;22/1989;1989-10-30;04/1991;1991-04-30;Głowica do honowania zwłaszcza małych i średnich otworów;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK;;B24B33/08 B24D7/06;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277394;153324;;1989-01-24;22/1989;1989-10-30;04/1991;1991-04-30;Przyrząd do mocowania tulei cylindrowych zwłaszcza podczas gładzenia otworów;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK;;B24B33/10 B24B41/06 B24B5/307;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277395;153312;;1989-01-24;22/1989;1989-10-30;04/1991;1991-04-30;Sposób gładzenia wewnętrznych powierzchni cylindrycznych i przyrząd do ustalania gładzonych przedmiotów podczas gładzenia wewnętrznych powierzchni cylindrycznych;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK KULA STANISŁAW;;B24B33/10 B24B5/307 B24B35/00 B24B41/06;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277396;153311;;1989-01-24;22/1989;1989-10-30;04/1991;1991-04-30;Głowica do korekcyjnego honowania wewnętrznych powierzchni cylindrycznych;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK KULA STANISŁAW;;B24B33/08 B24D7/06;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277397;154295;;1989-01-24;22/1989;1989-10-30;07/1991;1991-07-31;Głowica do dokładnego honowania;POLITECHNIKA RZESZOWSKA IM. I. ŁUKASIEWICZA;MICHALSKI JACEK KULA STANISŁAW;Warzybok Tadeusz;B24B33/08 B24D7/06;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277398;152512;;1989-01-24;22/1989;1989-10-30;01/1991;1991-01-31;Urządzenie do badań wytrzymałości gruntu i pobierania próbek gruntu;POLITECHNIKA RZESZOWSKA IM. IGNACEGO ŁUKASIEWICZA;STRÓŻECKI JACEK;;G01N33/42 E02D1/00 G01N33/24;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277399;;;1989-01-24;16/1990;1990-08-06;;;Sposób i urządzenie do kształtowania metalowych powłok stożkowych;INSTYTUT OBRÓBKI PLASTYCZNEJ;ULATOWSKI ZENON PERKOWSKI ANDRZEJ WIŚNIEWSKI JAN GRAJDEK RYSZARD;;B21D;Decyzja o umorzeniu postępowania;
277400;;;1989-01-24;16/1990;1990-08-06;;;Układ elektroniczny do wytwarzania dźwięków perkusyjnych;TOTON STANISŁAW;TOTON STANISŁAW;;G10H;Decyzja o umorzeniu postępowania;
277401;159887;;1989-01-28;16/1990;1990-08-06;01/1993;1993-01-29;Urządzenie do obliczania ilości przepływającej cieczy;POLSKA AKADEMIA NAUK INSTYTUT PODSTAWOWYCH PROBLEMÓW TECHNIKI;SECOMSKI WOJCIECH;Rutkowski Wiesław;G01F1/66;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277402;;;1989-01-28;16/1990;1990-08-06;;;Tensometryczny czujnik ciśnienia typu rurkowego;PAN INSTYTUT MASZYN PRZEPŁYWOWYCH;POPOWICZ ZYGMUNT;BIURO RZECZNIKÓW PATENTOWYCH P.A.N. DOM HANDLOWY NAUKI SP. Z O.O. ul.Newelska 6  01-447 Warszawa;G01L;Decyzja o umorzeniu postępowania;
