Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277274;;;1989-01-18;15/1990;1990-07-23;;;Zawór napowietrzająco-odpowietrzający;ZAKŁADY URZĄDZEŃ CHEMICZNYCH I ARMATURY PRZEMYSŁOWEJ CHEMAR;ŻAK BOGUSŁAW MIGALSKI FRANCISZEK BLICHARSKI HENRYK;;F16K;Decyzja o umorzeniu postępowania;
277275;;;1989-01-20;15/1990;1990-07-23;;;Urządzenie jezdne do przemieszczania się wewnątrz rurociągów;HUTNICZE PRZEDSIĘBIORSTWO REMONTOWE Veb Energiekombinat;ZAKRZEWSKI RYSZARD PUKACZ ANDRZEJ MAŹNIAK TADEUSZ PRASKI TADEUSZ PIETSCHKER GERALD SCHMIDT EVELIN;;F16L;Decyzja o wygaśnięciu decyzji warunkowej;
277276;158833;;1989-01-20;16/1989;1989-08-07;10/1992;1992-10-30;Zamek bezsprężynowy do zabezpieczania pomieszczeń;MĘCIŃSKI ZBIGNIEW HAŚ MIECZYSŁAW;MĘCIŃSKI ZBIGNIEW HAŚ MIECZYSŁAW;Zbigniew Męciński;E05B25/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277277;;;1989-01-20;15/1990;1990-07-23;;;Sposób elektromechanicznego usuwania zadziorów z elementów rurowych;POLITECHNIKA WARSZAWSKA;DĄBROWSKI LUCJAN KOZAK JERZY ŁUBKOWSKI KONRAD;Dział Ochrony Patentowej Politechniki Warszawskiej;B23H;Decyzja o umorzeniu postępowania;
277278;;;1989-01-20;15/1990;1990-07-23;;;Urządzenie do mineralizacji zanieczyszczeń organicznych cieczy, zwłaszcza ścieków za pomocą ozonowania;POLAŃSKI JAROSŁAW M.;POLAŃSKI JAROSŁAW M.;;C02F;Decyzja o wygaśnięciu decyzji warunkowej;
277279;157977;;1989-01-20;15/1990;1990-07-23;07/1992;1992-07-31;Ultradźwiękowa głowica sektorowa;POLSKA AKADEMIA NAUK INSTYTUT PODSTAWOWYCH PROBLEMÓW TECHNIKI;MARCINIAK ARTUR NOWICKI ANDRZEJ SECOMSKI WOJCIECH KARŁOWICZ PAWEŁ PIECHOCKI MACIEJ LIWSKI JACEK;Rutkowski Wiesław;A61B8/00 B06B3/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277281;153422;;1989-01-20;18/1989;1989-09-04;04/1991;1991-04-30;Kompozycja zawierająca materiał palny z wiązaniami poliuretanowymi oraz środek tłumiący wytwarzanie dymu i toksycznych gazów;CIBA-GEIGY A.G.;;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;C08L75/04 C08J9/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277282;;1988-01-20;1989-01-20;21/1989;1989-10-16;;;Zamek magnetyczny, zwłaszcza wstawiany do mechanizmów zamykających;ELZETT-CERTA Zargyarto, Presonto es Szerszamkeszito Vallalat;KASSZA TIBOR;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277283;;;1989-01-20;15/1990;1990-07-23;;;Sposób oczyszczania 2,2'-dwu-(1,6,7-trójhydroksy-3-metylo-5-izopropylo-8-formylonaftalenu);Intitut Bioorganicheskoi Khimii Akademii Nauk Uzbexkoi SSR;IBRAGIMOV BAKHTIYAR TULYAGANOVICH TALIPOV SAMAT ABDILAKHATOVICH MARDANOV RUSTAM GARUNOVICH ARIPOV TAKHIR FATIKHOVICH;;C07C47/56;Decyzja o umorzeniu postępowania;
277284;;1988-01-23;1989-01-20;19/1989;1989-09-18;;;Przekładnia;BOLLMAN HYDRAULIK GmbH;BOLLMAN DIETER;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
